,Volcano.Name,volcano_number,Longitude,Latitude,Elevation..m.,wind_north,wind_south,wind_east,wind_west,grid_north,grid_south,grid_east,grid_west
611,Agrigan,284160,145.67,18.77,965,18.78,18.76,145.68,145.66,23.77,13.77,150.67,140.67
402,Agung,264020,115.508,-8.343,2997,-8.33,-8.35,115.52,115.5,-3.343,-13.343,120.508,110.508
613,Alamagan,284180,145.83,17.6,744,17.61,17.59,145.84,145.82,22.6,12.6,150.83,140.83
320,Ambae,257030,167.835,-15.389,1496,-15.38,-15.4,167.84,167.83,-10.389,-20.389,172.835,162.835
432,Ambang,266020,124.42,0.75,1795,0.76,0.74,124.43,124.41,5.75,-4.25,129.42,119.42
302,Ambitle,254020,153.65,-4.08,450,-4.07,-4.09,153.66,153.64,0.92,-9.08,158.65,148.65
321,Ambrym,257040,168.12,-16.25,1334,-16.24,-16.26,168.13,168.11,-11.25,-21.25,173.12,163.12
618,Anatahan,284200,145.67,16.35,790,16.36,16.34,145.68,145.66,21.35,11.35,150.67,140.67
391,Arjuno-Welirang,263290,112.575,-7.733,3339,-7.72,-7.74,112.59,112.56,-2.733,-12.733,117.575,107.575
610,Asuncion,284150,145.406,19.671,857,19.68,19.66,145.42,145.4,24.671,14.671,150.406,140.406
443,Awu,267040,125.447,3.689,1318,3.7,3.68,125.46,125.44,8.689,-1.311,130.447,120.447
498,Babuyan Claro,274030,121.95,19.524,1064,19.53,19.51,121.96,121.94,24.524,14.524,126.95,116.95
305,Bagana,255020,155.196,-6.137,1855,-6.13,-6.15,155.21,155.19,-1.137,-11.137,160.196,150.196
266,Bam,251010,144.818,-3.613,685,-3.6,-3.62,144.83,144.81,1.387,-8.613,149.818,139.818
286,Bamus,252110,151.23,-5.2,2248,-5.19,-5.21,151.24,151.22,-0.2,-10.2,156.23,146.23
430,Banda Api,265090,129.881,-4.523,596,-4.51,-4.53,129.89,129.87,0.477,-9.523,134.881,124.881
401,Batur,264010,115.375,-8.242,1717,-8.23,-8.25,115.39,115.36,-3.242,-13.242,120.375,110.375
477,Biliran,272080,124.535,11.523,1301,11.53,11.51,124.54,124.52,16.523,6.523,129.535,119.535
304,Billy Mitchell,255011,155.225,-6.092,1544,-6.08,-6.1,155.23,155.22,-1.092,-11.092,160.225,150.225
478,Bulusan,273010,124.056,12.769,1535,12.78,12.76,124.07,124.05,17.769,7.769,129.056,119.056
475,Cabalían,272050,125.218,10.285,912,10.3,10.28,125.23,125.21,15.285,5.285,130.218,120.218
495,Cagua,273090,122.123,18.222,1133,18.23,18.21,122.13,122.11,23.222,13.222,127.123,117.123
470,Camiguin,271080,124.673,9.203,1552,9.21,9.19,124.68,124.66,14.203,4.203,129.673,119.673
496,Camiguin de Babuyanes,274010,121.86,18.83,712,18.84,18.82,121.87,121.85,23.83,13.83,126.86,116.86
377,Cereme,263170,108.408,-6.895,3039,-6.88,-6.9,108.42,108.4,-1.895,-11.895,113.408,103.408
431,Colo,266010,121.601,-0.162,404,-0.15,-0.17,121.61,121.59,4.838,-5.162,126.601,116.601
278,Dakataua,252040,150.094,-5.094,408,-5.08,-5.1,150.1,150.08,-0.094,-10.094,155.094,145.094
300,Dawson Strait Group,253060,150.88,-9.62,500,-9.61,-9.63,150.89,150.87,-4.62,-14.62,155.88,145.88
356,Dempo,261230,103.121,-4.016,3142,-4.01,-4.03,103.13,103.11,0.984,-9.016,108.121,98.121
497,Didicas,274020,122.202,19.077,228,19.09,19.07,122.21,122.19,24.077,14.077,127.202,117.202
379,Dieng Volcanic Complex,263200,109.879,-7.2,2565,-7.19,-7.21,109.89,109.87,-2.2,-12.2,114.879,104.879
445,Dukono,268010,127.894,1.693,1229,1.7,1.68,127.9,127.88,6.693,-3.307,132.894,122.894
410,Ebulobo,264100,121.191,-8.817,2096,-8.81,-8.83,121.2,121.18,-3.817,-13.817,126.191,116.191
414,Egon,264160,122.455,-8.676,1661,-8.67,-8.69,122.47,122.44,-3.676,-13.676,127.455,117.455
323,Epi,257060,168.37,-16.68,833,-16.67,-16.69,168.38,168.36,-11.68,-21.68,173.37,163.37
606,Farallon de Pajaros,284140,144.893,20.546,337,20.56,20.54,144.9,144.88,25.546,15.546,149.893,139.893
375,Galunggung,263140,108.058,-7.25,2168,-7.24,-7.26,108.07,108.05,-2.25,-12.25,113.058,103.058
452,Gamalama,268060,127.33,0.8,1715,0.81,0.79,127.34,127.32,5.8,-4.2,132.33,122.33
448,Gamkonora,268040,127.53,1.38,1635,1.39,1.37,127.54,127.52,6.38,-3.62,132.53,122.53
318,Gaua,257020,167.5,-14.27,797,-14.26,-14.28,167.51,167.49,-9.27,-19.27,172.5,162.5
368,Gede-Pangrango,263060,106.965,-6.77,3008,-6.76,-6.78,106.98,106.96,-1.77,-11.77,111.965,101.965
614,Guguan,284190,145.845,17.307,287,17.32,17.3,145.85,145.84,22.307,12.307,150.845,140.845
373,Guntur,263130,107.84,-7.143,2249,-7.13,-7.15,107.85,107.83,-2.143,-12.143,112.84,102.84
424,Gunungapi Wetar,265030,126.65,-6.642,282,-6.63,-6.65,126.66,126.64,-1.642,-11.642,131.65,121.65
285,Hargy,252100,151.1,-5.33,1148,-5.32,-5.34,151.11,151.09,-0.33,-10.33,156.1,146.1
447,Ibu,268030,127.63,1.488,1325,1.5,1.48,127.64,127.62,6.488,-3.512,132.63,122.63
398,Ijen,263350,114.242,-8.058,2769,-8.05,-8.07,114.25,114.23,-3.058,-13.058,119.242,109.242
418,Iliboleng,264220,123.258,-8.342,1659,-8.33,-8.35,123.27,123.25,-3.342,-13.342,128.258,118.258
421,Iliwerung,264250,123.57,-8.53,1018,-8.52,-8.54,123.58,123.56,-3.53,-13.53,128.57,118.57
409,Inielika,264090,120.98,-8.73,1559,-8.72,-8.74,120.99,120.97,-3.73,-13.73,125.98,115.98
408,Inierie,264080,120.95,-8.875,2245,-8.87,-8.88,120.96,120.94,-3.875,-13.875,125.95,115.95
596,Ioto,284120,141.289,24.751,169,24.76,24.74,141.3,141.28,29.751,19.751,146.289,136.289
500,Iraya,274060,122.01,20.469,1009,20.48,20.46,122.02,122,25.469,15.469,127.01,117.01
483,Isarog,273042,123.38,13.658,1966,13.67,13.65,123.39,123.37,18.658,8.658,128.38,118.38
411,Iya,264110,121.641,-8.891,618,-8.88,-8.9,121.65,121.63,-3.891,-13.891,126.641,116.641
355,Kaba,261220,102.615,-3.522,1940,-3.51,-3.53,102.62,102.6,1.478,-8.522,107.615,97.615
265,Kadovar,251002,144.588,-3.608,365,-3.6,-3.62,144.6,144.58,1.392,-8.608,149.588,139.588
472,Kanlaon,272020,123.132,10.412,2435,10.42,10.4,123.14,123.12,15.412,5.412,128.132,118.132
441,Karangetang,267020,125.407,2.781,1797,2.79,2.77,125.42,125.4,7.781,-2.219,130.407,120.407
269,Karkar,251030,145.964,-4.649,1839,-4.64,-4.66,145.97,145.95,0.351,-9.649,150.964,140.964
412,Kelimutu,264140,121.82,-8.77,1639,-8.76,-8.78,121.83,121.81,-3.77,-13.77,126.82,116.82
389,Kelut,263280,112.308,-7.93,1731,-7.92,-7.94,112.32,112.3,-2.93,-12.93,117.308,107.308
351,Kerinci,261170,101.264,-1.697,3800,-1.69,-1.71,101.27,101.25,3.303,-6.697,106.264,96.264
595,Kita-Ioto,284110,141.284,25.424,792,25.43,25.41,141.29,141.27,30.424,20.424,146.284,136.284
363,Krakatau,262000,105.423,-6.102,155,-6.09,-6.11,105.43,105.41,-1.102,-11.102,110.423,100.423
281,Krummel-Garbuna-Welcker,252070,150.027,-5.416,564,-5.41,-5.43,150.04,150.02,-0.416,-10.416,155.027,145.027
510,Kueishantao,281031,121.953,24.841,361,24.85,24.83,121.96,121.94,29.841,19.841,126.953,116.953
292,Lamington,253010,148.15,-8.95,1680,-8.94,-8.96,148.16,148.14,-3.95,-13.95,153.15,143.15
395,Lamongan,263320,113.341,-7.981,1641,-7.97,-7.99,113.35,113.33,-2.981,-12.981,118.341,108.341
275,Langila,252010,148.42,-5.525,1330,-5.52,-5.54,148.43,148.41,-0.525,-10.525,153.42,143.42
387,Lawu,263260,111.192,-7.625,3265,-7.62,-7.64,111.2,111.18,-2.625,-12.625,116.192,106.192
464,Leonard Range,271031,126.047,7.382,1080,7.39,7.37,126.06,126.04,12.382,2.382,131.047,121.047
417,Leroboleng,264200,122.833,-8.365,1095,-8.36,-8.38,122.84,122.82,-3.365,-13.365,127.833,117.833
416,Lewotobi,264180,122.775,-8.542,1703,-8.53,-8.55,122.79,122.76,-3.542,-13.542,127.775,117.775
419,Lewotolok,264230,123.508,-8.274,1431,-8.26,-8.28,123.52,123.5,-3.274,-13.274,128.508,118.508
436,Lokon-Empung,266100,124.792,1.358,1580,1.37,1.35,124.8,124.78,6.358,-3.642,129.792,119.792
288,Lolobau,252130,151.158,-4.92,858,-4.91,-4.93,151.17,151.15,0.08,-9.92,156.158,146.158
307,Loloru,255030,155.62,-6.52,1887,-6.51,-6.53,155.63,155.61,-1.52,-11.52,160.62,150.62
271,Long Island,251050,147.12,-5.358,1280,-5.35,-5.37,147.13,147.11,-0.358,-10.358,152.12,142.12
322,Lopevi,257050,168.346,-16.507,1413,-16.5,-16.52,168.36,168.34,-11.507,-21.507,173.346,163.346
437,Mahawu,266110,124.865,1.352,1299,1.36,1.34,124.88,124.85,6.352,-3.648,129.865,119.865
465,Makaturing,271040,124.317,7.644,1818,7.65,7.63,124.33,124.31,12.644,2.644,129.317,119.317
456,Makian,268070,127.4,0.32,1357,0.33,0.31,127.41,127.39,5.32,-4.68,132.4,122.4
268,Manam,251020,145.037,-4.08,1807,-4.07,-4.09,145.05,145.03,0.92,-9.08,150.037,140.037
348,Marapi,261140,100.474,-0.38,2885,-0.37,-0.39,100.48,100.46,4.62,-5.38,105.474,95.474
489,Mariveles,273081,120.482,14.527,1388,14.54,14.52,120.49,120.47,19.527,9.527,125.482,115.482
462,Matutum,271020,125.07,6.37,2286,6.38,6.36,125.08,125.06,11.37,1.37,130.07,120.07
480,Mayon,273030,123.685,13.257,2462,13.27,13.25,123.7,123.67,18.257,8.257,128.685,118.685
385,Merapi,263250,110.446,-7.54,2910,-7.53,-7.55,110.46,110.44,-2.54,-12.54,115.446,105.446
384,Merbabu,263240,110.44,-7.454,3118,-7.44,-7.46,110.45,110.43,-2.454,-12.454,115.44,105.44
386,Muria,263251,110.88,-6.62,1625,-6.61,-6.63,110.89,110.87,-1.62,-11.62,115.88,105.88
427,Nila,265060,129.5,-6.73,781,-6.72,-6.74,129.51,129.49,-1.73,-11.73,134.5,124.5
612,Pagan,284170,145.8,18.13,570,18.14,18.12,145.81,145.79,23.13,13.13,150.8,140.8
413,Paluweh,264150,121.708,-8.32,875,-8.31,-8.33,121.72,121.7,-3.32,-13.32,126.708,116.708
371,Papandayan,263100,107.73,-7.32,2665,-7.31,-7.33,107.74,107.72,-2.32,-12.32,112.73,102.73
461,Parker,271011,124.892,6.113,1824,6.12,6.1,124.9,124.88,11.113,1.113,129.892,119.892
366,Perbakti-Gagak,263040,106.7,-6.75,1699,-6.74,-6.76,106.71,106.69,-1.75,-11.75,111.7,101.7
337,Peuet Sague,261030,96.289,4.903,2785,4.91,4.89,96.3,96.28,9.903,-0.097,101.289,91.289
491,Pinatubo,273083,120.35,15.13,1486,15.14,15.12,120.36,120.34,20.13,10.13,125.35,115.35
289,Rabaul,252140,152.203,-4.271,688,-4.26,-4.28,152.21,152.19,0.729,-9.271,157.203,147.203
466,Ragang,271060,124.507,7.691,2790,7.7,7.68,124.52,124.5,12.691,2.691,129.507,119.507
407,Ranakah,264071,120.52,-8.62,2350,-8.61,-8.63,120.53,120.51,-3.62,-13.62,125.52,115.52
397,Raung,263340,114.056,-8.119,3260,-8.11,-8.13,114.07,114.05,-3.119,-13.119,119.056,109.056
403,Rinjani,264030,116.47,-8.42,3726,-8.41,-8.43,116.48,116.46,-3.42,-13.42,121.47,111.47
273,Ritter Island,251070,148.115,-5.519,75,-5.51,-5.53,148.12,148.11,-0.519,-10.519,153.115,143.115
440,Ruang,267010,125.37,2.3,725,2.31,2.29,125.38,125.36,7.3,-2.7,130.37,120.37
367,Salak,263050,106.73,-6.72,2211,-6.71,-6.73,106.74,106.72,-1.72,-11.72,111.73,101.73
486,San Pablo Volcanic Field,273060,121.3,14.12,1090,14.13,14.11,121.31,121.29,19.12,9.12,126.3,116.3
405,Sangeang Api,264050,119.07,-8.2,1912,-8.19,-8.21,119.08,119.06,-3.2,-13.2,124.07,114.07
314,Savo,255070,159.82,-9.13,485,-9.12,-9.14,159.83,159.81,-4.13,-14.13,164.82,154.82
393,Semeru,263300,112.922,-8.108,3657,-8.1,-8.12,112.93,112.91,-3.108,-13.108,117.922,107.922
428,Serua,265070,130.017,-6.312,608,-6.3,-6.32,130.03,130.01,-1.312,-11.312,135.017,125.017
336,Seulawah Agam,261020,95.658,5.448,1810,5.46,5.44,95.67,95.65,10.448,0.448,100.658,90.658
308,Simbo,255050,156.52,-8.292,335,-8.28,-8.3,156.53,156.51,-3.292,-13.292,161.52,151.52
340,Sinabung,261080,98.392,3.17,2460,3.18,3.16,98.4,98.38,8.17,-1.83,103.392,93.392
339,Singkut,261070,98.501,3.248,2181,3.26,3.24,98.51,98.49,8.248,-1.752,103.501,93.501
423,Sirung,264270,124.13,-8.508,862,-8.5,-8.52,124.14,124.12,-3.508,-13.508,129.13,119.13
378,Slamet,263180,109.208,-7.242,3428,-7.23,-7.25,109.22,109.2,-2.242,-12.242,114.208,104.208
433,Soputan,266030,124.737,1.112,1785,1.12,1.1,124.75,124.73,6.112,-3.888,129.737,119.737
344,Sorikmarapi,261120,99.539,0.686,2145,0.7,0.68,99.55,99.53,5.686,-4.314,104.539,94.539
261,St. Andrew Strait,250010,147.35,-2.38,270,-2.37,-2.39,147.36,147.34,2.62,-7.38,152.35,142.35
352,Sumbing,261180,101.728,-2.414,2507,-2.4,-2.42,101.74,101.72,2.586,-7.414,106.728,96.728
381,Sumbing,263220,110.07,-7.384,3371,-7.37,-7.39,110.08,110.06,-2.384,-12.384,115.07,105.07
380,Sundoro,263210,109.992,-7.3,3136,-7.29,-7.31,110,109.98,-2.3,-12.3,114.992,104.992
360,Suoh,261270,104.27,-5.25,1000,-5.24,-5.26,104.28,104.26,-0.25,-10.25,109.27,99.27
317,Suretamatai,257010,167.47,-13.8,921,-13.79,-13.81,167.48,167.46,-8.8,-18.8,172.47,162.47
487,Taal,273070,120.993,14.002,311,14.01,13.99,121,120.98,19.002,9.002,125.993,115.993
350,Talang,261160,100.681,-0.979,2575,-0.97,-0.99,100.69,100.67,4.021,-5.979,105.681,95.681
404,Tambora,264040,118,-8.25,2850,-8.24,-8.26,118.01,117.99,-3.25,-13.25,123,113
349,Tandikat-Singgalang,261150,100.331,-0.39,2854,-0.38,-0.4,100.34,100.32,4.61,-5.39,105.331,95.331
439,Tangkoko-Duasudara,266130,125.185,1.518,1334,1.53,1.51,125.2,125.17,6.518,-3.482,130.185,120.185
370,Tangkuban Parahu,263090,107.6,-6.77,2084,-6.76,-6.78,107.61,107.59,-1.77,-11.77,112.6,102.6
422,"Tara, Batu",264260,123.585,-7.791,633,-7.78,-7.8,123.6,123.57,-2.791,-12.791,128.585,118.585
511,Tatun Volcanic Group,281032,121.553,25.178,1120,25.19,25.17,121.56,121.54,30.178,20.178,126.553,116.553
290,Tavui,252150,152.2,-4.12,200,-4.11,-4.13,152.21,152.19,0.88,-9.12,157.2,147.2
338,"Telong, Bur ni",261050,96.821,4.769,2617,4.78,4.76,96.83,96.81,9.769,-0.231,101.821,91.821
394,Tengger Caldera,263310,112.95,-7.942,2329,-7.93,-7.95,112.96,112.94,-2.942,-12.942,117.95,107.95
426,Teon,265050,129.144,-6.976,728,-6.97,-6.99,129.15,129.13,-1.976,-11.976,134.144,124.144
315,Tinakula,256010,165.804,-10.386,796,-10.38,-10.4,165.81,165.79,-5.386,-15.386,170.804,160.804
327,Traitor's Head,257090,169.238,-18.754,817,-18.74,-18.76,169.25,169.23,-13.754,-23.754,174.238,164.238
287,Ulawun,252120,151.33,-5.05,2334,-5.04,-5.06,151.34,151.32,-0.05,-10.05,156.33,146.33
295,Victory,253030,149.07,-9.2,1925,-9.19,-9.21,149.08,149.06,-4.2,-14.2,154.07,144.07
297,Waiowa,253040,149.075,-9.57,640,-9.56,-9.58,149.08,149.06,-4.57,-14.57,154.075,144.075
283,Witori,252080,150.516,-5.576,724,-5.57,-5.59,150.53,150.51,-0.576,-10.576,155.516,145.516
425,Wurlali,265040,128.675,-7.125,868,-7.12,-7.14,128.68,128.67,-2.125,-12.125,133.675,123.675